file_name,company_name,symbol,exchange,reasons-for-taging,company_code,ISIN,CUSIP,DUNS,NECOID,ACORN,score,mic-exchange-code,ticker-hierarchy
202204110545PR_NEWS_USPR_____CG19187.json,Citizen Systems Japan Co. Ltd.,Null,Null,extractor,ACORN:A.0313389138,Null,Null,711510540,324389138,0313389138,MENTION,XXXX,REFERENCE
202204110545PR_NEWS_USPR_____CG19187.json,Cognitivetpg LLC,Null,Null,extractor,ACORN:A.0313389138,Null,Null,017258735,594484555,0583484555,MENTION,XXXX,REFERENCE
202204110545PR_NEWS_USPR_____CG19187.json,Lexmark International Inc.,Null,Null,extractor,ACORN:A.0313389138,Null,Null,623331717,1544839320,1533839320,MENTION,XXXX,REFERENCE
202204110545PR_NEWS_USPR_____CG19187.json,Polaroid Film B.V.,Null,Null,extractor,ACORN:A.0313389138,Null,Null,489220321,1603194340,1592194340,MENTION,XXXX,REFERENCE
202204110545PR_NEWS_USPR_____NY19045.json,TaskUs Inc,TASK,NASDAQ-NMS,mapper,NASDAQ-NMS:TASK,US87652V1098,87652V109,026335183,8418865,5011418865,SIGNIFICANT,XNAS,REFERENCE
202204110545PR_NEWS_USPR_____NY19067.json,Butterfly Network Inc,BFLY,NYSE,mapper,NYSE:BFLY,US1241551027,124155102,026335183,8417472,5011417472,SIGNIFICANT,XNYS,REFERENCE
202204110545PR_NEWS_USPR_____NY19067.json,Longview Acquisition Corp.,Null,Null,extractor,NYSE:BFLY,US1241551027,124155102,117520495,829701766,2955185397,SIGNIFICANT,XXXX,REFERENCE
202204110545PR_NEWS_USPR_____NY19076.json,Acutus Medical Inc,AFIB,NASDAQ-NMS,mapper,NASDAQ-NMS:AFIB,US0051111096,005111109,844418199,8415139,5011415139,SIGNIFICANT,XNAS,REFERENCE
202204110545PR_NEWS_USPR_____NY19080.json,Astra Space Inc,ASTR,NASDAQ-NMS,mapper,NASDAQ-NMS:ASTR,US04634X1037,04634X103,191178842,8419346,5011419346,SIGNIFICANT,XNAS,REFERENCE
202204110545PR_NEWS_USPR_____NY19086.json,Adherex Technologies Inc.,FENC,NASDAQ-SMALL,mapper,NASDAQ-SMALL:FENC,US31447P1003,31447P100,159861132,8380527,5011380527,SIGNIFICANT,XNCM,REFERENCE
202204110545PR_NEWS_USPR_____NY19086.json,Food and Drug Administration,Null,Null,extractor,NASDAQ-SMALL:FENC,US31447P1003,31447P100,659460781,1578184722,3703668353,MENTION,XXXX,REFERENCE
